C:\Users\hjjh2\anaconda3\envs\pytorch\lib\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and will be removed in 0.15, please use 'weights' instead.
  warnings.warn(
C:\Users\hjjh2\anaconda3\envs\pytorch\lib\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and will be removed in 0.15. The current behavior is equivalent to passing `weights=ResNet18_Weights.IMAGENET1K_V1`. You can also use `weights=ResNet18_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
2023-03-09 17:42:22,929 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:23,377 - STREAM b'IHDR' 16 13
2023-03-09 17:42:23,378 - STREAM b'IDAT' 41 22103
2023-03-09 17:42:23,392 - STREAM b'IHDR' 16 13
2023-03-09 17:42:23,393 - STREAM b'pHYs' 41 9
2023-03-09 17:42:23,393 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:23,419 - STREAM b'IHDR' 16 13
2023-03-09 17:42:23,420 - STREAM b'IDAT' 41 17528
2023-03-09 17:42:23,431 - STREAM b'IHDR' 16 13
2023-03-09 17:42:23,431 - STREAM b'pHYs' 41 9
2023-03-09 17:42:23,432 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:23,460 - STREAM b'IHDR' 16 13
2023-03-09 17:42:23,460 - STREAM b'IDAT' 41 18312
2023-03-09 17:42:23,472 - STREAM b'IHDR' 16 13
2023-03-09 17:42:23,472 - STREAM b'pHYs' 41 9
2023-03-09 17:42:23,473 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:23,501 - STREAM b'IHDR' 16 13
2023-03-09 17:42:23,502 - STREAM b'IDAT' 41 17755
2023-03-09 17:42:23,532 - STREAM b'IHDR' 16 13
2023-03-09 17:42:23,533 - STREAM b'pHYs' 41 9
2023-03-09 17:42:23,534 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:23,994 - STREAM b'IHDR' 16 13
2023-03-09 17:42:23,995 - STREAM b'IDAT' 41 20004
2023-03-09 17:42:24,009 - STREAM b'IHDR' 16 13
2023-03-09 17:42:24,010 - STREAM b'pHYs' 41 9
2023-03-09 17:42:24,010 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:24,036 - STREAM b'IHDR' 16 13
2023-03-09 17:42:24,037 - STREAM b'IDAT' 41 21247
2023-03-09 17:42:24,050 - STREAM b'IHDR' 16 13
2023-03-09 17:42:24,051 - STREAM b'pHYs' 41 9
2023-03-09 17:42:24,051 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:24,076 - STREAM b'IHDR' 16 13
2023-03-09 17:42:24,077 - STREAM b'IDAT' 41 23547
2023-03-09 17:42:24,087 - STREAM b'IHDR' 16 13
2023-03-09 17:42:24,088 - STREAM b'pHYs' 41 9
2023-03-09 17:42:24,088 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:24,115 - STREAM b'IHDR' 16 13
2023-03-09 17:42:24,115 - STREAM b'IDAT' 41 16224
2023-03-09 17:42:24,128 - STREAM b'IHDR' 16 13
2023-03-09 17:42:24,129 - STREAM b'pHYs' 41 9
2023-03-09 17:42:24,129 - STREAM b'IDAT' 62 8192
2023-03-09 17:42:24,643 - STREAM b'IHDR' 16 13
2023-03-09 17:42:24,644 - STREAM b'IDAT' 41 18386
2023-03-09 17:42:24,658 - STREAM b'IHDR' 16 13
2023-03-09 17:42:24,659 - STREAM b'pHYs' 41 9
2023-03-09 17:42:24,660 - STREAM b'IDAT' 62 8192
