2023-05-31 22:30:30,970 - Namespace(batch_size=4, epochs=10, learning_rate=0.001, print_freq=1, project_name='Project1')
2023-05-31 22:32:12,323 -  [LOSS]] : 49.77092361450195 | [ACC]:900.0
2023-05-31 22:32:12,616 -  [LOSS]] : 45.9298095703125 | [ACC]:900.0
2023-05-31 22:32:12,932 -  [LOSS]] : 45.26318359375 | [ACC]:900.0
2023-05-31 22:32:13,239 -  [LOSS]] : 47.6490592956543 | [ACC]:900.0
2023-05-31 22:32:13,555 -  [LOSS]] : 49.3919677734375 | [ACC]:900.0
2023-05-31 22:32:13,856 -  [LOSS]] : 46.47887420654297 | [ACC]:900.0
2023-05-31 22:32:14,181 -  [LOSS]] : 47.770111083984375 | [ACC]:900.0
2023-05-31 22:32:14,488 -  [LOSS]] : 55.226993560791016 | [ACC]:900.0
2023-05-31 22:32:14,816 -  [LOSS]] : 46.96167755126953 | [ACC]:900.0
2023-05-31 22:32:15,138 -  [LOSS]] : 45.723392486572266 | [ACC]:900.0
2023-05-31 22:32:15,442 -  [LOSS]] : 47.74587631225586 | [ACC]:900.0
2023-05-31 22:32:15,758 -  [LOSS]] : 60.174461364746094 | [ACC]:900.0
2023-05-31 22:32:16,058 -  [LOSS]] : 53.14057159423828 | [ACC]:900.0
2023-05-31 22:32:16,363 -  [LOSS]] : 48.61007308959961 | [ACC]:900.0
2023-05-31 22:32:16,688 -  [LOSS]] : 63.41489028930664 | [ACC]:900.0
2023-05-31 22:32:17,018 -  [LOSS]] : 53.36821746826172 | [ACC]:900.0
2023-05-31 22:32:17,325 -  [LOSS]] : 54.38011932373047 | [ACC]:900.0
2023-05-31 22:32:17,629 -  [LOSS]] : 68.3709487915039 | [ACC]:900.0
2023-05-31 22:32:17,953 -  [LOSS]] : 74.2938232421875 | [ACC]:900.0
2023-05-31 22:32:18,272 -  [LOSS]] : 48.68565368652344 | [ACC]:900.0
2023-05-31 22:32:18,587 -  [LOSS]] : 57.32184600830078 | [ACC]:900.0
2023-05-31 22:32:18,899 -  [LOSS]] : 43.531700134277344 | [ACC]:900.0
2023-05-31 22:32:19,223 -  [LOSS]] : 68.03392028808594 | [ACC]:900.0
2023-05-31 22:32:19,553 -  [LOSS]] : 56.18994140625 | [ACC]:900.0
2023-05-31 22:32:19,879 -  [LOSS]] : 68.94715881347656 | [ACC]:900.0
2023-05-31 22:32:20,200 -  [LOSS]] : 63.698097229003906 | [ACC]:900.0
2023-05-31 22:32:20,510 -  [LOSS]] : 59.234989166259766 | [ACC]:900.0
2023-05-31 22:32:20,809 -  [LOSS]] : 46.996822357177734 | [ACC]:900.0
2023-05-31 22:32:21,126 -  [LOSS]] : 65.33415985107422 | [ACC]:900.0
2023-05-31 22:32:21,437 -  [LOSS]] : 44.66442108154297 | [ACC]:900.0
2023-05-31 22:32:21,754 -  [LOSS]] : 63.01263427734375 | [ACC]:900.0
2023-05-31 22:32:22,066 -  [LOSS]] : 74.22747039794922 | [ACC]:900.0
2023-05-31 22:32:22,377 -  [LOSS]] : 58.39954376220703 | [ACC]:900.0
2023-05-31 22:32:22,699 -  [LOSS]] : 52.897159576416016 | [ACC]:900.0
2023-05-31 22:32:23,023 -  [LOSS]] : 61.66595458984375 | [ACC]:900.0
2023-05-31 22:32:23,333 -  [LOSS]] : 58.232643127441406 | [ACC]:900.0
2023-05-31 22:32:23,640 -  [LOSS]] : 60.702484130859375 | [ACC]:900.0
2023-05-31 22:32:23,970 -  [LOSS]] : 51.16025924682617 | [ACC]:900.0
2023-05-31 22:32:24,287 -  [LOSS]] : 70.9627685546875 | [ACC]:900.0
2023-05-31 22:32:24,601 -  [LOSS]] : 64.10834503173828 | [ACC]:900.0
2023-05-31 22:32:24,919 -  [LOSS]] : 74.03616333007812 | [ACC]:900.0
2023-05-31 22:32:25,233 -  [LOSS]] : 61.10166931152344 | [ACC]:900.0
2023-05-31 22:32:25,553 -  [LOSS]] : 63.92379379272461 | [ACC]:900.0
2023-05-31 22:32:25,868 -  [LOSS]] : 57.984439849853516 | [ACC]:900.0
2023-05-31 22:32:26,188 -  [LOSS]] : 43.48321533203125 | [ACC]:900.0
2023-05-31 22:32:26,525 -  [LOSS]] : 60.47260284423828 | [ACC]:900.0
2023-05-31 22:32:26,846 -  [LOSS]] : 58.99797821044922 | [ACC]:900.0
2023-05-31 22:32:27,154 -  [LOSS]] : 74.17371368408203 | [ACC]:900.0
2023-05-31 22:32:27,491 -  [LOSS]] : 57.21411895751953 | [ACC]:900.0
2023-05-31 22:32:27,788 -  [LOSS]] : 45.34843063354492 | [ACC]:900.0
2023-05-31 22:32:28,082 -  [LOSS]] : 48.330833435058594 | [ACC]:900.0
2023-05-31 22:32:28,410 -  [LOSS]] : 61.044715881347656 | [ACC]:900.0
2023-05-31 22:32:28,720 -  [LOSS]] : 44.78007125854492 | [ACC]:900.0
2023-05-31 22:32:29,031 -  [LOSS]] : 40.52162551879883 | [ACC]:900.0
2023-05-31 22:35:27,385 - Namespace(batch_size=4, epochs=10, learning_rate=0.001, print_freq=1, project_name='Project1')
2023-05-31 22:35:33,697 -  [LOSS]] : 28.221906661987305 | [ACC]:50.0
2023-05-31 22:35:33,998 -  [LOSS]] : 29.857460021972656 | [ACC]:50.0
2023-05-31 22:35:34,309 -  [LOSS]] : 30.635482788085938 | [ACC]:50.0
2023-05-31 22:35:34,603 -  [LOSS]] : 35.94801330566406 | [ACC]:50.0
2023-05-31 22:35:34,917 -  [LOSS]] : 37.39463806152344 | [ACC]:50.0
2023-05-31 22:35:35,228 -  [LOSS]] : 37.43295669555664 | [ACC]:50.0
2023-05-31 22:35:35,527 -  [LOSS]] : 39.98042678833008 | [ACC]:50.0
2023-05-31 22:35:35,825 -  [LOSS]] : 38.8093376159668 | [ACC]:50.0
2023-05-31 22:35:36,130 -  [LOSS]] : 35.51434326171875 | [ACC]:50.0
2023-05-31 22:35:36,447 -  [LOSS]] : 42.72096252441406 | [ACC]:50.0
2023-05-31 22:35:36,729 -  [LOSS]] : 43.6427116394043 | [ACC]:50.0
2023-05-31 22:35:37,031 -  [LOSS]] : 44.175315856933594 | [ACC]:50.0
2023-05-31 22:35:37,332 -  [LOSS]] : 41.461700439453125 | [ACC]:50.0
2023-05-31 22:35:37,629 -  [LOSS]] : 50.88636779785156 | [ACC]:50.0
2023-05-31 22:35:37,923 -  [LOSS]] : 47.18760681152344 | [ACC]:50.0
2023-05-31 22:35:38,213 -  [LOSS]] : 51.411685943603516 | [ACC]:50.0
2023-05-31 22:35:38,516 -  [LOSS]] : 47.42488098144531 | [ACC]:50.0
2023-05-31 22:35:38,802 -  [LOSS]] : 54.97581481933594 | [ACC]:50.0
2023-05-31 22:35:39,111 -  [LOSS]] : 51.39563751220703 | [ACC]:50.0
2023-05-31 22:35:39,403 -  [LOSS]] : 49.605865478515625 | [ACC]:50.0
2023-05-31 22:35:39,700 -  [LOSS]] : 55.88776397705078 | [ACC]:50.0
2023-05-31 22:35:40,015 -  [LOSS]] : 60.33799743652344 | [ACC]:50.0
2023-05-31 22:35:40,328 -  [LOSS]] : 49.98911666870117 | [ACC]:50.0
2023-05-31 22:35:40,613 -  [LOSS]] : 45.02267837524414 | [ACC]:50.0
2023-05-31 22:35:40,920 -  [LOSS]] : 47.30804443359375 | [ACC]:50.0
2023-05-31 22:35:41,221 -  [LOSS]] : 59.183937072753906 | [ACC]:50.0
2023-05-31 22:35:41,518 -  [LOSS]] : 65.22876739501953 | [ACC]:50.0
2023-05-31 22:35:41,803 -  [LOSS]] : 57.03314971923828 | [ACC]:50.0
2023-05-31 22:35:42,102 -  [LOSS]] : 62.15367889404297 | [ACC]:50.0
2023-05-31 22:35:42,384 -  [LOSS]] : 53.810333251953125 | [ACC]:50.0
2023-05-31 22:35:42,675 -  [LOSS]] : 76.3192367553711 | [ACC]:50.0
2023-05-31 22:35:42,993 -  [LOSS]] : 68.04059600830078 | [ACC]:50.0
2023-05-31 22:35:43,293 -  [LOSS]] : 59.91704559326172 | [ACC]:50.0
2023-05-31 22:35:43,579 -  [LOSS]] : 66.69992065429688 | [ACC]:50.0
2023-05-31 22:35:43,903 -  [LOSS]] : 68.63752746582031 | [ACC]:50.0
2023-05-31 22:35:44,202 -  [LOSS]] : 65.25096893310547 | [ACC]:50.0
2023-05-31 22:35:44,515 -  [LOSS]] : 50.35533905029297 | [ACC]:50.0
2023-05-31 22:35:44,812 -  [LOSS]] : 61.16749572753906 | [ACC]:50.0
2023-05-31 22:35:45,128 -  [LOSS]] : 68.57807159423828 | [ACC]:50.0
2023-05-31 22:35:45,421 -  [LOSS]] : 58.9959716796875 | [ACC]:50.0
2023-05-31 22:35:45,720 -  [LOSS]] : 51.03551483154297 | [ACC]:50.0
2023-05-31 22:35:46,037 -  [LOSS]] : 57.017738342285156 | [ACC]:50.0
2023-05-31 22:35:46,346 -  [LOSS]] : 49.95344924926758 | [ACC]:50.0
2023-05-31 22:35:46,662 -  [LOSS]] : 53.353057861328125 | [ACC]:50.0
2023-05-31 22:35:46,961 -  [LOSS]] : 52.16920852661133 | [ACC]:50.0
2023-05-31 22:35:47,264 -  [LOSS]] : 61.645538330078125 | [ACC]:50.0
2023-05-31 22:35:47,571 -  [LOSS]] : 58.903621673583984 | [ACC]:50.0
2023-05-31 22:35:47,882 -  [LOSS]] : 48.73125457763672 | [ACC]:50.0
2023-05-31 22:35:48,199 -  [LOSS]] : 55.125648498535156 | [ACC]:50.0
2023-05-31 22:35:48,530 -  [LOSS]] : 54.31256866455078 | [ACC]:50.0
2023-05-31 22:35:48,840 -  [LOSS]] : 77.18453979492188 | [ACC]:50.0
